aX,aY,aZ,gX,gY,gZ
0.707,-0.152,-0.551,-9.644,53.833,-8.85
0.718,-0.159,-0.51,-4.944,38.635,-7.08
0.741,-0.144,-0.526,0.061,16.418,-4.333
-1.477,-0.902,0.786,-38.818,-498.779,-83.008
-1.77,-1.004,0.702,-61.584,-549.927,-67.688
-2.017,-1.097,0.887,-77.881,-581.238,-42.48
-2.288,-1.092,0.867,-73.486,-594.421,-13.672
-2.416,-1.062,0.995,-52.856,-569.641,21.851
-2.321,-1.134,1.203,-30.212,-522.522,65.857
-2.001,-1.112,1.151,-49.255,-490.234,118.713
-1.741,-0.888,0.72,-91.675,-469.238,196.594
-1.997,-0.728,0.433,-125.61,-434.631,302.49
-1.981,-0.804,-0.035,-155.029,-404.114,395.386
-1.683,-0.931,-0.695,-157.837,-381.592,461.243
-1.651,-0.977,-1.221,-147.705,-325.806,499.268
-1.681,-1.075,-1.54,-133.667,-230.53,501.526
-1.561,-1.047,-1.405,-132.263,-120.056,481.873
-1.517,-0.915,-1.068,-141.785,-18.005,449.524
-1.472,-0.776,-0.683,-146.79,67.688,393.86
-1.218,-0.711,-0.203,-144.592,131.47,341.064
-0.934,-0.662,0.143,-137.268,162.781,304.81
-0.674,-0.567,0.341,-133.545,166.626,274.658
-0.456,-0.461,0.467,-142.761,151.489,259.644
-0.344,-0.324,0.538,-158.264,125.0,265.869
-0.302,-0.242,0.557,-167.847,94.482,281.86
-0.292,-0.17,0.495,-178.711,65.857,300.842
-0.408,-0.08,0.401,-193.604,45.654,311.401
-0.476,-0.097,0.318,-195.618,42.969,317.322
-0.462,-0.089,0.232,-177.246,56.702,331.726
-0.536,0.026,0.173,-157.715,81.482,337.708
-0.588,0.114,0.139,-146.362,111.511,341.614
-0.574,0.139,0.171,-134.583,145.752,349.243
-0.559,0.204,0.306,-119.141,182.312,346.313
-0.513,0.303,0.442,-101.196,209.351,338.257
-0.474,0.386,0.514,-85.083,223.633,334.106
-0.441,0.442,0.526,-73.914,222.656,332.214
-0.388,0.486,0.444,-67.871,213.074,331.116
-0.368,0.466,0.36,-59.204,204.529,330.139
-0.355,0.387,0.293,-44.006,198.303,327.942
-0.326,0.347,0.217,-29.846,192.749,322.571
-0.282,0.363,0.137,-15.503,193.665,318.42
-0.257,0.398,0.108,3.235,204.529,315.002
-0.219,0.423,0.103,27.405,220.947,312.378
-0.124,0.441,0.094,49.866,238.464,311.218
-0.052,0.446,0.129,67.322,254.944,313.965
-0.006,0.377,0.166,79.102,265.076,318.237
-0.009,0.364,0.21,86.365,267.151,318.665
-0.027,0.373,0.203,92.346,264.954,313.965
0.057,0.318,0.305,89.905,264.648,311.34
0.119,0.321,0.285,81.238,258.85,301.147
0.156,0.356,0.208,73.547,252.686,290.649
0.15,0.424,0.09,70.496,249.695,279.846
0.17,0.44,-0.056,66.284,251.282,269.043
0.198,0.42,-0.233,58.899,259.216,257.751
0.232,0.333,-0.427,50.781,272.339,244.08
0.297,0.229,-0.645,37.964,283.752,224.121
0.453,0.172,-0.891,16.968,290.771,200.439
0.62,0.16,-1.191,0.488,293.213,174.011
0.857,0.273,-1.535,-7.385,288.086,145.691
1.14,0.455,-1.959,-2.991,273.193,119.446
1.382,0.611,-2.312,20.386,253.235,96.741
1.601,0.563,-2.531,48.706,234.924,75.317
1.748,0.299,-2.61,58.594,227.966,55.42
1.781,-0.032,-2.504,46.631,241.699,38.33
1.831,-0.215,-2.177,21.912,261.047,13.245
1.92,-0.258,-1.78,-3.601,254.639,-21.24
1.893,-0.316,-1.568,-20.996,210.632,-54.565
1.709,-0.319,-1.588,-33.386,150.208,-83.74
1.588,0.016,-1.456,-39.49,103.455,-100.647
1.468,0.312,-1.394,-39.001,63.599,-87.585
1.486,0.208,-1.29,-34.912,25.818,-63.049
1.247,0.023,-1.137,-27.893,-3.418,-46.143
1.238,-0.182,-0.898,-9.277,-30.701,-31.128
1.181,-0.314,-1.036,6.592,-63.66,-30.518
0.905,-0.372,-1.149,14.709,-62.134,-45.349
0.765,-0.327,-1.048,7.507,-30.762,-51.514
0.869,-0.31,-0.894,-6.897,2.136,-53.04
0.923,-0.359,-0.766,-20.264,24.658,-55.664
0.861,-0.381,-0.663,-26.672,36.072,-64.575
0.844,-0.297,-0.576,-24.292,36.865,-72.388
0.896,-0.166,-0.538,-22.644,29.968,-71.899
0.912,-0.089,-0.51,-27.527,20.325,-60.791
0.875,-0.059,-0.478,-34.546,9.155,-44.861
0.836,-0.051,-0.454,-33.142,-4.7,-27.649
0.795,-0.149,-0.428,-23.499,-21.423,-14.221
0.774,-0.221,-0.516,-14.343,-38.879,-16.052
0.767,-0.103,-0.639,-4.517,-47.241,-20.264
0.695,-0.005,-0.678,-6.775,-44.067,-4.7
0.605,-0.168,-0.74,-20.752,-33.936,4.15
0.552,-0.321,-0.791,-17.212,-17.456,-6.592
0.604,-0.248,-0.772,-7.202,2.869,-15.198
0.667,-0.034,-0.617,-8.606,20.996,-20.691
0.76,0.001,-0.46,-14.709,23.926,-12.512
0.784,-0.121,-0.443,-18.616,8.85,-7.69
0.744,-0.183,-0.5,-10.986,-11.78,-9.827
0.716,-0.155,-0.577,-3.174,-28.259,-9.583
0.708,-0.066,-0.662,-2.869,-36.682,-11.23
0.706,0.045,-0.695,-3.479,-37.781,-7.141
0.699,-0.027,-0.679,-9.033,-36.072,7.874
0.679,-0.132,-0.661,-14.465,-35.339,11.841
0.667,-0.233,-0.654,-7.629,-34.607,10.681
0.644,-0.23,-0.671,-4.15,-32.349,5.127
0.615,-0.209,-0.676,-3.296,-26.367,-3.845
0.625,-0.141,-0.686,-1.709,-17.761,-9.705
0.658,-0.111,-0.694,-0.366,-7.08,-9.521
0.671,-0.11,-0.669,-2.686,2.747,-5.676
0.692,-0.161,-0.631,-4.028,8.789,-1.038
0.726,-0.202,-0.605,-1.831,8.972,-0.488
0.733,-0.18,-0.583,1.038,5.371,-1.465
0.738,-0.17,-0.603,-0.183,0.854,-1.587
0.733,-0.149,-0.609,-3.052,-2.686,-0.122
0.726,-0.246,-0.604,-7.385,-6.897,3.723
0.699,-0.266,-0.596,-8.301,-11.414,-4.211
0.743,-0.234,-0.599,-2.319,-16.541,-5.493
0.741,-0.159,-0.633,-4.761,-20.02,-6.348
0.696,-0.151,-0.672,-7.812,-18.433,-4.272
0.678,-0.177,-0.696,-9.216,-11.658,-0.427
0.688,-0.21,-0.717,-6.897,-3.357,1.282
0.689,-0.216,-0.725,-2.93,5.981,-0.61
0.698,-0.203,-0.703,-1.526,15.32,-1.892
0.729,-0.209,-0.674,-3.235,21.851,-2.441
0.746,-0.233,-0.653,-6.409,25.024,-3.784
-1.083,-1.118,0.798,-10.62,-68.726,27.1
-1.245,-1.228,0.841,-5.981,-98.816,37.109
-1.367,-1.348,0.866,-0.793,-129.456,49.622
-1.438,-1.411,0.881,-1.038,-159.302,63.477
-1.507,-1.445,0.896,0.977,-188.049,74.585
-1.567,-1.477,0.915,4.333,-214.661,83.557
-1.556,-1.495,0.911,-0.183,-238.037,90.21
-1.508,-1.473,0.875,-10.559,-258.545,93.628
-1.463,-1.403,0.808,-21.606,-275.818,95.337
-1.435,-1.344,0.74,-34.424,-289.124,101.379
-1.402,-1.3,0.668,-51.575,-296.265,118.286
-1.355,-1.283,0.566,-71.777,-294.983,144.897
-1.315,-1.281,0.439,-98.206,-283.325,176.697
-1.269,-1.233,0.281,-123.962,-258.606,211.975
-1.244,-1.113,0.083,-143.982,-217.896,245.911
-1.261,-0.979,-0.066,-160.522,-161.133,280.823
-1.24,-0.81,-0.147,-178.833,-92.957,317.81
-1.15,-0.642,-0.211,-188.477,-26.672,348.328
-1.042,-0.458,-0.271,-188.66,33.203,370.911
-0.933,-0.265,-0.302,-180.725,89.6,389.404
-0.82,-0.099,-0.287,-165.527,141.541,404.663
-0.677,0.057,-0.237,-146.667,186.646,415.771
-0.5,0.179,-0.162,-124.268,222.29,423.035
-0.325,0.268,-0.056,-92.651,247.131,431.213
-0.173,0.326,0.091,-54.626,260.254,440.552
-0.018,0.362,0.296,-16.907,258.24,449.768
0.151,0.383,0.558,18.005,236.206,456.665
0.335,0.378,0.821,48.096,187.195,461.426
0.49,0.354,0.968,68.97,110.962,466.675
0.476,0.296,0.842,81.238,20.447,470.337
0.31,0.204,0.582,86.609,-57.007,472.595
0.129,0.151,0.407,96.13,-102.6,471.375
-0.009,0.139,0.294,117.859,-126.526,458.313
-0.055,0.202,0.174,133.728,-131.714,434.448
-0.126,0.214,0.131,137.878,-112.061,414.062
-0.21,0.124,0.21,132.324,-71.533,394.592
-0.231,-0.042,0.337,118.896,-23.743,365.723
-0.205,-0.203,0.466,97.961,20.569,325.562
-0.164,-0.286,0.58,69.702,54.26,277.71
-0.15,-0.255,0.639,36.499,73.181,227.478
-0.172,-0.135,0.606,3.052,78.857,178.223
-0.179,0.018,0.499,-30.945,80.811,135.803
-0.174,0.159,0.368,-59.204,89.111,102.905
-0.149,0.269,0.252,-74.646,108.704,76.172
-0.083,0.338,0.146,-77.209,137.695,54.871
0.007,0.389,0.065,-70.923,170.837,39.673
0.101,0.435,0.014,-55.298,205.322,31.982
0.245,0.488,-0.034,-32.043,237.549,30.884
0.405,0.515,-0.081,-2.441,265.442,38.818
0.546,0.533,-0.103,27.222,288.147,57.495
0.661,0.526,-0.113,53.833,302.734,83.252
0.74,0.469,-0.139,78.064,307.617,111.206
0.772,0.335,-0.204,97.412,304.687,137.085
0.802,0.151,-0.331,104.187,296.692,156.372
0.847,-0.016,-0.526,99.426,286.316,166.87
