aX,aY,aZ,gX,gY,gZ
-0.307,-0.93,0.34,-0.793,-0.061,-11.108
-0.3,-0.915,0.342,-1.221,-0.183,-11.719
-0.29,-0.908,0.338,-1.709,-0.793,-10.925
-0.289,-0.907,0.337,-2.869,-1.465,-8.972
-0.296,-0.899,0.335,-2.991,-1.526,-6.409
0.865,-1.676,0.296,-43.335,-52.551,16.418
1.229,-1.826,-0.042,-39.001,-131.897,52.429
1.477,-2.085,-0.311,-23.621,-225.464,109.131
1.717,-2.306,-0.573,-9.949,-329.895,169.617
2.161,-2.396,-1.088,27.954,-472.839,202.82
2.361,-2.498,-1.495,66.711,-614.014,222.229
2.362,-2.747,-1.672,58.044,-718.384,247.437
2.567,-2.929,-1.954,26.611,-819.824,266.296
2.633,-2.754,-2.282,-1.404,-916.077,272.095
2.31,-2.241,-2.485,-32.349,-985.901,267.273
1.717,-1.547,-2.577,-60.974,-1018.555,251.099
1.044,-0.891,-2.59,-65.613,-1005.859,244.812
0.441,-0.45,-2.666,-49.194,-948.914,254.15
-0.177,-0.111,-2.598,-35.278,-851.501,280.212
-0.79,0.039,-2.241,-31.677,-727.356,317.505
-1.293,-0.04,-1.557,-24.719,-615.601,360.962
-1.687,-0.21,-0.847,-2.441,-551.758,385.071
-2.167,-0.431,-0.559,29.846,-541.87,372.986
-2.687,-0.661,-0.696,50.171,-541.931,323.853
-3.164,-0.909,-0.79,61.829,-505.859,258.728
-3.427,-0.965,-0.759,56.274,-433.105,197.876
-3.486,-0.712,-0.556,41.626,-338.989,148.56
-4.0,0.056,-0.719,68.665,-227.356,122.925
-4.0,-0.502,-0.434,153.503,-65.063,155.823
-3.259,-1.707,0.148,64.026,31.921,235.901
-1.367,-2.475,0.052,-78.308,17.273,200.684
-0.612,-1.99,-0.156,-76.782,-24.475,47.913
-0.495,-1.134,-0.475,-0.427,-43.274,-87.524
-0.257,-1.088,-0.554,17.578,-5.554,-149.902
-0.075,-1.094,-0.144,4.883,73.12,-176.453
0.063,-1.283,0.237,23.132,142.151,-184.082
0.358,-1.632,0.515,28.992,162.231,-208.313
0.489,-1.564,0.684,25.513,148.499,-211.548
0.553,-1.228,0.677,19.47,127.869,-194.031
0.575,-0.955,0.664,15.015,97.351,-158.02
