aX,aY,aZ,gX,gY,gZ
0.117,-0.083,3.298,54.504,223.389,-8.85
0.136,-0.028,3.27,42.908,257.69,-0.977
0.242,-0.037,3.194,34.424,290.649,8.24
0.376,-0.028,3.043,23.315,326.172,14.648
0.462,0.048,2.835,8.85,361.633,15.808
0.508,0.137,2.614,-6.958,391.602,17.822
0.537,0.161,2.456,-19.592,409.119,21.729
0.473,0.145,2.377,-29.663,405.64,22.034
0.317,0.132,2.149,-36.194,377.869,12.878
0.113,0.185,1.684,-39.795,339.6,-1.282
-0.048,0.163,1.18,-42.603,313.965,-10.254
-0.162,0.064,0.78,-39.063,308.289,-16.479
-0.204,-0.027,0.595,-22.4,314.331,-25.391
-0.144,-0.049,0.387,3.357,312.988,-36.926
-0.082,-0.074,0.082,24.475,298.279,-44.8
-0.182,-0.02,-0.145,51.575,282.227,-53.162
-0.041,0.007,-0.305,83.191,272.461,-47.363
0.213,-0.099,-0.54,103.455,261.597,-30.762
0.312,-0.325,-0.673,114.38,252.502,-9.216
0.419,-0.564,-0.605,108.276,245.239,13.489
0.469,-0.709,-0.642,98.083,224.365,23.437
0.517,-0.695,-0.754,85.022,197.876,22.888
0.65,-0.641,-0.654,63.904,177.612,23.926
0.75,-0.572,-0.475,40.405,151.123,28.198
0.621,-0.44,-0.594,18.86,106.75,32.898
0.461,-0.328,-0.72,3.235,69.58,38.269
0.446,-0.288,-0.58,-4.15,51.453,41.077
0.45,-0.234,-0.461,-5.005,29.907,37.354
0.387,-0.149,-0.535,-3.784,3.54,31.86
0.281,-0.118,-0.607,-3.845,-9.705,29.724
0.191,-0.135,-0.587,-4.211,-6.531,29.724
0.182,-0.177,-0.447,-1.892,3.601,25.696
0.207,-0.198,-0.294,5.005,6.592,14.282
0.207,-0.169,-0.256,14.038,-1.953,1.282
0.119,-0.096,-0.417,21.362,-10.254,-4.7
0.091,-0.075,-0.441,25.269,-0.244,0.61
0.24,-0.161,-0.221,29.846,18.433,9.827
0.376,-0.214,-0.099,35.217,18.311,13.062
0.448,-0.216,-0.052,37.354,2.93,15.381
0.447,-0.206,-0.076,34.363,-14.832,21.179
0.45,-0.223,-0.092,27.344,-26.672,30.029
0.462,-0.25,-0.103,17.639,-31.677,38.513
0.458,-0.243,-0.125,5.676,-30.884,43.762
0.475,-0.224,-0.091,-8.484,-22.888,46.631
0.499,-0.204,-0.023,-24.536,-13.062,46.082
0.521,-0.172,0.033,-39.734,-6.287,41.565
0.54,-0.123,0.065,-53.772,-3.235,33.02
0.565,-0.063,0.082,-66.04,-1.282,22.583
0.599,0.007,0.087,-74.768,1.77,12.634
0.645,0.07,0.096,-79.163,6.104,4.944
0.687,0.12,0.1,-79.895,11.292,0.793
0.705,0.156,0.094,-77.332,16.663,0.305
0.721,0.177,0.097,-71.838,22.705,2.441
0.759,0.173,0.129,-64.087,27.954,5.493
0.806,0.158,0.175,-55.908,30.457,8.789
0.849,0.154,0.212,-48.584,28.809,12.085
0.882,0.114,0.2,-42.48,23.682,16.113
0.925,-0.005,0.257,-39.246,18.25,17.09
0.997,0.016,0.312,-36.194,7.202,10.193
0.956,0.047,0.22,-37.537,-9.338,6.531
0.935,0.07,0.161,-40.222,-17.639,6.165
0.87,0.056,0.113,-43.945,-16.968,8.972
0.84,0.064,0.069,-45.593,-9.46,8.728
0.825,0.097,0.07,-45.837,4.15,7.996
0.811,0.102,0.053,-45.288,21.667,7.751
0.8,-0.001,0.057,-42.847,41.26,4.761
0.961,0.085,0.285,-38.086,59.509,-4.7
1.093,0.144,0.418,-36.133,58.044,-5.798
1.063,0.121,0.332,-38.574,40.588,-0.427
1.164,0.096,0.466,-39.673,27.527,6.897
1.09,0.094,0.347,-40.344,4.456,12.329
1.066,0.1,0.244,-39.063,-13.611,15.259
1.044,0.119,0.185,-35.828,-19.592,16.907
1.029,0.139,0.154,-31.738,-18.738,18.127
1.026,0.15,0.145,-25.146,-14.038,18.799
1.034,0.151,0.175,-17.029,-8.911,18.372
1.027,0.169,0.199,-8.057,-5.981,16.541
1.013,0.194,0.196,0.488,-5.371,14.832
0.993,0.193,0.186,7.751,-4.211,14.709
0.985,0.158,0.181,12.634,-1.099,14.709
1.003,0.131,0.19,15.991,3.54,13.306
1.044,0.125,0.218,17.151,7.324,11.23
1.066,0.119,0.225,16.418,7.568,9.216
1.07,0.108,0.188,14.282,4.517,7.69
1.072,0.106,0.163,11.597,1.953,6.897
1.055,0.1,0.158,9.155,0.488,6.897
1.047,0.091,0.172,8.606,-2.502,5.981
1.043,0.097,0.168,9.155,-6.897,3.662
1.024,0.113,0.14,8.545,-11.353,2.502
0.999,0.111,0.119,7.141,-12.695,3.784
0.986,0.108,0.109,6.287,-11.536,4.578
0.975,0.124,0.1,5.92,-8.789,4.761
0.942,0.141,0.073,5.127,-5.188,5.31
0.913,0.133,0.054,4.333,1.038,5.371
0.916,0.124,0.06,4.028,9.766,3.357
0.942,0.135,0.076,3.967,17.639,0.61
0.964,0.148,0.078,3.235,23.254,-0.793
0.968,0.152,0.075,1.709,27.1,0.488
0.98,0.135,0.08,0.793,29.968,2.563
0.998,0.117,0.102,1.038,30.762,3.906
1.004,0.114,0.118,1.892,27.71,3.296
1.005,0.125,0.121,1.831,21.79,2.563
1.005,0.136,0.117,0.732,14.771,2.869
0.992,0.143,0.105,-0.977,8.179,4.639
0.949,0.125,0.059,-1.953,2.38,6.226
0.962,0.097,0.08,-2.197,0.549,4.7
0.973,0.121,0.095,-2.014,-0.916,1.282
0.954,0.157,0.062,-2.991,-3.845,0.183
0.958,0.162,0.072,-4.639,-3.845,0.793
0.966,0.152,0.093,-4.944,-3.662,2.075
